symbol,date,price
Primary,1978,11.00
Primary,1979,11.39
Primary,1980,10.10
Primary,1981,10.58
Primary,1982,13.31
Primary,1983,13.52
Primary,1984,17.26
Primary,1985,19.53
Primary,1986,19.69
Primary,1987,21.60
Primary,1988,27.36
Primary,1989,29.63
Primary,1990,34.24
Primary,1991,34.06
Primary,1992,34.16
Primary,1993,37.82
Primary,1994,47.61
Primary,1995,59.82
Primary,1996,68.72
Primary,1997,72.03
Primary,1998,73.84
Primary,1999,74.49
Primary,2000,76.68
Primary,2001,78.00
Primary,2002,79.68
Primary,2003,81.02
Primary,2004,83.45
Primary,2005,90.26
Primary,2006,93.81
Primary,2007,101.84
Primary,2008,111.80
Primary,2009,113.82
Primary,2010,114.15
Primary,2011,124.94
Secondary,1978,211.05
Secondary,1979,221.21
Secondary,1980,236.10
Secondary,1981,244.34
Secondary,1982,249.32
Secondary,1983,255.32
Secondary,1984,275.37
Secondary,1985,325.63
Secondary,1986,336.02
Secondary,1987,364.38
Secondary,1988,433.05
Secondary,1989,466.18
Secondary,1990,505.60
Secondary,1991,550.64
Secondary,1992,677.39
Secondary,1993,902.38
Secondary,1994,1148.45
Secondary,1995,1419.41
Secondary,1996,1596.72
Secondary,1997,1774.02
Secondary,1998,1871.89
Secondary,1999,1984.64
Secondary,2000,2207.63
Secondary,2001,2403.18
Secondary,2002,2622.45
Secondary,2003,3209.02
Secondary,2004,3892.12
Secondary,2005,4381.20
Secondary,2006,4969.95
Secondary,2007,5571.06
Secondary,2008,6085.84
Secondary,2009,6001.78
Secondary,2010,7218.32
Secondary,2011,7927.89
Tertiary,1978,50.76
Tertiary,1979,53.83
Tertiary,1980,65.69
Tertiary,1981,69.84
Tertiary,1982,74.44
Tertiary,1983,82.97
Tertiary,1984,98.22
Tertiary,1985,121.59
Tertiary,1986,135.12
Tertiary,1987,159.48
Tertiary,1988,187.89
Tertiary,1989,200.73
Tertiary,1990,241.82
Tertiary,1991,309.07
Tertiary,1992,402.77
Tertiary,1993,579.03
Tertiary,1994,794.80
Tertiary,1995,1020.20
Tertiary,1996,1292.11
Tertiary,1997,1592.74
Tertiary,1998,1855.36
Tertiary,1999,2129.60
Tertiary,2000,2486.86
Tertiary,2001,2728.94
Tertiary,2002,3038.90
Tertiary,2003,3404.19
Tertiary,2004,4097.26
Tertiary,2005,4776.20
Tertiary,2006,5508.48
Tertiary,2007,6821.11
Tertiary,2008,7872.23
Tertiary,2009,8930.85
Tertiary,2010,9833.51
Tertiary,2011,11142.86